HET Code,Smiles,Molecular Weight
AB1,CC(C)C(N1CCCNC1=O)C(=O)NC(CC(O)C(Cc2ccccc2)NC(=O)COc3c(C)cccc3C)Cc4ccccc4,628.80082
AB2,COc1ccc(cc1)S(=O)(=O)N(CC(C)C)CC(O)C(Cc2ccccc2)n3cc(COC(=O)NC4C(O)Cc5ccccc45)nn3,663.78364
ABC,CC1OC(OC2C(O)C(O)C(OC3C(O)C(O)C(NC4C(C)OC(OC5C(O)C(O)C(OC6C(C)OC(O)C(O)C6O)OC5CO)C(O)C4O)C=C3CO)OC2CO)C(O)C(O)C1O,937.88722
ABD,CC1OC(OC2C(O)C(O)C(OC3C(O)C(O)C(O)OC3CO)OC2CO)C(O)C(O)C1NC4OC(CO)C(OC5OC(CO)C(OC6OC(CO)C(O)C(O)C6O)C(O)C5O)C(O)C4O,973.87472
AC8,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(C(OP(=O)(O)O)C1OP(=O)(O)O)n2cnc3c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS,847.51402
ACG,CC1OC(OC2C(O)C(O)C(NC3C(C)OC(OC4C(O)C(O)C(OC5C(O)C(O)C(O)OC5CO)OC4CO)C(O)C3O)C=C2CO)C(O)C(O)C1O,791.74602
ACO,CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(C(O)C1OP(=O)(O)O)n2cnc3c(N)ncnc23,809.5708
ACR,CC1OC(OC2C(O)C(O)C(OC3C(O)C(O)C(O)OC3CO)OC2CO)C(O)C(O)C1NC4C=C(CO)C(O)C(O)C4O,645.60482
AD4,CCCCCCCC(=O)OC1C(OC(=O)\C(=C/C)\C)C(=C2C3OC(=O)C(C)(O)C3(O)C(CC(C)(OC(=O)C)C12)OC(=O)CCCCCCCCCCCNC(=O)OC(C)(C)C)C,878.0967
ADJ,Nc1ncnc2c1ncn2C3OC(COP(=O)(O)OC(O)C4=CCCN(C4)C5OC(COP(=O)(O)OP(=O)(O)OCC6OC(C(O)C6O)n7cnc8c(N)ncnc78)C(O)C5O)C(O)C3O,999.66344
ADW,Nc1ncnc2c1ncn2C3OC(CO[W](=O)(O)O[W](=O)(O)O)C(O)C3O,732.9336
AFH,Nc1ncnc2c1ncn2C3OC(COP(=O)(O)OP(=O)(O)OC4OC(C(O)CO)C(O)C(O)C4F)C(O)C3O,621.35877
AG1,CC(NC(=O)C1(C=CC=C1)[Ru]2(C#[O+])[n+]3cc(F)cc4c5C(=O)NC(=O)c5c6c7cc(O)ccc7n2c6c34)C(=O)O,629.51488
AG6,CCCC(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(=O)O)NC(=O)OCc2ccccc2)\C=C/C(=O)c3ccccc3,613.70006
AG7,CCOC(=O)CCC(CC1CCNC1=O)NC(=O)C(CC(=O)C(NC(=O)c2cc(C)on2)C(C)C)Cc3ccc(F)cc3,600.67824
AGH,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC,858.32236
AGN,CNc1ccccc1C(=O)OC2CC(OC2COP(=O)(O)OP(=O)(O)NP(=O)(O)O)n3cnc4C(=O)NC(=Nc34)N,639.34354
AGO,CNc1ccccc1C(=O)OC2C(COP(=O)(O)OP(=O)(O)NP(=O)(O)O)OC(C2=O)n3cnc4C(=O)NC(=Nc34)N,653.32706
AGW,OCC1OC(OC2(CO)OC(CO)C(OP(=O)(O)OC3C(O)OCC(O)C3O)C2OC(=O)c4ccccc4)C(O)C(O)C1O,658.49706
AHF,COC(O)c1ccc(CN2C(COc3ccccc3)C(O)C(O)C(COc4ccccc4)N(Cc5ccc(CO)cc5)S2(=O)=O)cc1,664.7651
AI,CC(C)C(NC(=O)N(C)Cc1ccccn1)C(=O)NC(CC2CCCCC2)C(O)C(O)C(Cc3ccccc3)NC(=O)C(NC(=O)N(C)Cc4ccccn4)C(C)C,801.02896
AI8,CCO\N=C(/C(=O)NC(C=O)C1NC(=C(CS1)Sc2nc(cs2)c3cc[n+](C)cc3)C(=O)O)\c4nsc(N)n4,607.72862
AKA,CCC1(O)CC(OC2CC(C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)N(C)C)c5c(O)c6C(=O)c7c(O)cccc7C(=O)c6cc5C1,753.83184
AKC,CCOCCOC(=O)NC(Cc1ccccc1)C(O)CC2(Cc3ccccc3)NC=C(C4C5OC(=O)NC5c6ccccc46)C2=O,625.71076
AKP,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)c1cnccn1)C(=O)NC(CC2CCCCC2)C(=O)NC(CC=C)C(O)(O)C(=O)NC(Cc3ccc(OP(=O)(O)O)cc3)C(=O)O,889.92796
AKY,CCC1(O)CC(OC2CC(C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)N(C)C)c5c(O)c6C(=O)c7c(O)cccc7C(=O)c6cc5C1C(=O)OC,811.86792
AM6,CN1CCN(CC1)c2ccc(Nc3ncc(NC(=O)c4cc(NC(=O)c5cccc(c5C)C(F)(F)F)ccc4C)cn3)cc2,603.63739
AM7,COc1cc2c(Oc3ccc(cc3F)C4=CN=C(Cc5ccccc5)N(C)C4=O)ccnc2cc1OCCCN6CCOCC6,610.6746
AMX,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(C(O)C1OP(=O)(O)O)n2cnc3c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCCC(=O)N,792.52044
AO3,CN(C)C1=NC2C(O)C(OC3OC(CO)C(OC4OC(CO)C(O)C(O)C4NC(=O)C)C(O)C3NC(=O)C)C(CO)C2O1,622.61938
AP0,CC(O)C1=CN(C=CC1)C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(C(O)C3O)n4cnc5c(N)ncnc45)C(O)C2O,666.4688
AP1,CCC(C(=O)N1CCCCC1C(=O)OC(CCc2ccc(OC)c(OC)c2)c3cccc(OCC(=O)O)c3)c4cc(OC)c(OC)c(OC)c4,693.77988
AP5,Nc1ncnc2c1ncn2C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4OC(C(O)C4O)n5cnc6c(N)ncnc56)C(O)C3O,916.36686
APU,Nc1ncnc2c1ncn2C3OC(CO)C(OP(=O)(O)OCC4OC(C(O)C4OP(=O)(O)O)N5C=CC(=O)NC5=O)C3O,653.38722
APX,NC1NC[NH2+]c2c1ncn2C3OC(COP(=O)(O)OP(=O)(O)OCC4OC(O)C(O)C4O)C(O)C3OP(=O)(O)O,644.33534
AQB,CN(C)CCCC(=O)Nc1ccc2ncnc(Nc3ccc(NC(=O)Nc4cc(nn4c5cccc(N)c5)C(C)(C)C)cc3)c2c1,620.7472
AQH,Nc1ncnc2c1ncn2C3OC(COP(=O)(O)OP(=O)(O)OC4OC(C(O)CO)C(O)C(O)C4O)C(O)C3O,619.3677
AQM,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4ccc(NC(=O)Nc5cc(nn5c6cccc(N)c6)C(C)(C)C)cc4)c3c2)CC1,661.79912
AR8,OC(=O)CCC(NC(=O)NC(CCCCn1cc(COCCOCCOCCOCCOCCOCCOCCOCCNc2ccc(cc2[N+](=O)O)[N+](=O)O)nn1)C(=O)O)C(=O)O,920.9145
ARE,CC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1NC3C=C(CO)C(OC4OC(CO)C(OC5OC(CO)C(O)C(O)C5O)C(O)C4O)C(O)C3O,807.74542
ARK,OC(=O)CCC(NC(=O)NC(CCCCn1cc(COCCOCCNc2ccc(cc2[N+](=O)O)[N+](=O)O)nn1)C(=O)O)C(=O)O,656.59914
ARU,CCN(CC)c1ncnc2c1ncn2C3OC(COP(=O)(O)OP(=O)(O)C(Br)(Br)P(=O)(O)O)C(O)C3O,719.10664
ARX,NC(=N)NCCCC(NC(=O)C(CCCNC(=N)N)NC(=O)CCCCCNC(=O)C1OC(C(O)C1O)n2cnc3c(N)ncnc23)C(=O)N,705.76908
AV1,Nc1ncnc2c1nc(Br)n2C3OC(COP(=O)(O)OP(=O)(O)OCC4OCC(O)C4O)C(O)C3O,622.2124
AW2,CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)CC2OC(C(O)C2O)n3cc(Br)c4c(N)ncnc34,618.5657
AZP,CCOC(=O)C(O)CC(=O)N(CCC(=O)N)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)NC(=O)OCc2ccccc2,641.71192
AUL,OCCCCCCCCCC(=O)NCCC\C=C\C1=CN(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)C(=O)NC1=O,721.52206
AUZ,Cc1cccc2c3cccc(C)[n+]3[Au]4(O[Au]5(O4)[n+]6c(C)cccc6c7cccc(C)[n+]57)[n+]12,794.40606
A1S,CC(C)CCSCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(C(O)C1OP(=O)(O)O)n2cnc3c(N)ncnc23,837.66702
AVY,CC(C)CC(NC(=O)OC1(Cc2ccccc2)CCN(CC1)C(=O)OC(C)(C)C)C(=O)NC(CC3CCNC3=O)C(O)S(=O)(=O)O,668.79862
A0B,OC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C2=C3C=C(Br)C(=O)C(=C3Oc4c(Br)c([O-])c(Br)cc24)Br,784.66282
AOH,CCC1=C(C)C2=[N-]3C1=Cc4c(C)c(C(C)O)c5C=C6C(=C7C(=O)C(C(=O)OC)C8=C9C(CCC(=O)OC\C=C(/C)\CC\C=C(/C)\CCC=C(C)C)C(C)C(=C2)N9[Mg]3(n45)[N-]6=C78)C,837.3396
AJQ,C[n+]1cn(C2OC(CSP(=O)(O)OP(=O)(S)OP(=O)(O)SCC3OC(C(O)C3O)n4cnc5C(=O)N=C(N)Nc45)C(O)C2O)c6N=C(N)NC(=O)c16,851.63718
AKW,C[n+]1cn(C2OC(CSP(=O)(O)OP(=O)(O)OP(=O)(O)SCC3OC(C(O)C3O)n4cnc5C(=O)NC(=Nc45)N)C(O)C2O)c6NC(=NC(=O)c16)N,835.57158
AYU,Nc1ncnc2c1ncn2C3OC(COP(=O)(O)OP(=O)(O)OC4OC(C(O)CO)C(O)C(O)C4O)C(O)C3O,619.3677
A7R,NC(=O)c1ccc[n+](c1)C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(C(O)C3O)N4C=CC(=NC4=O)N)C(O)C2O,640.40834
A86,CC(=O)OC1CC(C)(C)C(=C=C\C(=C\C=C\C(=C\C=C\C=C(/C)\C=C\C=C(/C)\C(=O)CC23OC2(C)CC(O)CC3(C)C)\C)\C)C(C)(O)C1,658.90632
AQ9,CC12CCCC(C)(C1CCC34CC(=C)C(CCC23)(C4)OC5OC(CO)C(O)C(O)C5O)C(=O)OC6OC(CO)C(O)C(O)C6O,642.7316
AV0,CCCCCCCCCCC(CCCCCCCCCC)(COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O)COC3OC(CO)C(OC4OC(CO)C(O)C(O)C4O)C(O)C3O,1005.18842
AUO,CC12CCCC(C)(C1CCC34CC(=C)C(CCC23)(C4)OC5OC(CO)C(O)C(OC6OC(CO)C(O)C(O)C6O)C5OC7OC(CO)C(O)C(O)C7O)C(=O)O,804.8722
E,OC1CC(OC1COP(=O)(O)O)n2cnc3c(NC4C(O)C(O)C(O)c5cc6ccc7cccc8ccc(c45)c6c78)ncnc23,633.54518
E13,COC(=O)NC(C(=O)NC(C(=O)NC(Cc1ccccc1)C(O)C(=O)N2CSC(C)(C)C2C(=O)NCC(C)(C)C)C(C)(C)C)c3ccccc3,711.91102
E14,CC(C)CNC(=O)C1N(CSC1(C)C)C(=O)C(O)C(Cc2ccccc2)NC(=O)C(NC(=O)C(N)c3ccccc3)C(C)(C)C,639.84836
E15,CC(C)C(C)NC(=O)C1N(CSC1(C)C)C(=O)C(O)C(Cc2ccccc2)NC(=O)C(NC(=O)C(N)c3ccccc3)C(C)(C)C,653.87494
E16,CC(NC(=O)C1N(CSC1(C)C)C(=O)C(O)C(Cc2ccccc2)NC(=O)C(NC(=O)C(N)c3ccccc3)C(C)(C)C)C(C)(C)C,667.90152
E17,CC(NC(=O)C1N(CSC1(C)C)C(=O)C(O)C(Cc2ccccc2)NC(=O)C(NC(=O)C(NC(=O)CN3CCOCC3)c4ccccc4)C(C)(C)C)C(C)(C)C,795.04268
E2M,OC(=O)C1CCC(COc2ccccc2Sc3ccc(\C=C\C(=O)N4CCOCC4)c(c3C(F)(F)F)C(F)(F)F)CC1,617.59968
E4M,CC1NC2=C(C(=O)NC(=N2)N)[N+]3=CN(C(C)C13)c4ccc(CC(O)C(O)C(O)COC5OC(COP(=O)(O)OC(CCC(=O)O)C(=O)O)C(O)C5O)cc4,787.68542
E52,CN1C(=O)c2c3C=C(F)C=[N]4c3c5c(c2C1=O)c6cc(O)ccc6n5[Ru]4789%10(C#[O])C%11(C(=O)NC(C)(CO)CO)[CH]7=[CH]8[CH]9=[CH]%10%11,659.58392
E69,CC(C)CC(NC(=O)C(O)CC(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)N)C(=O)NCCCCNC(=N)N,611.73736
E7B,COC(C(O)CC(=O)C(C)C(O)CCC(C)C1OC2(CCC(C)C(CCC(C)C(=O)C)O2)CCC1C)C(OC(=O)CC(O)\C(=C(/C)\C(=O)O)\C(=O)O)C(C)C,784.97022
EAD,CCc1cc(ccn1)C(=O)C2C=CN(C=C2C(=O)N)C3OC(COP(=O)(O)OP(=O)(O)OCC4OC(C(O)C4O)n5cnc6c(N)ncnc56)C(O)C3O,798.58826
EBN,NCCCCC(NC(=O)Cc1ccc(Cl)c(Cl)c1)C(=O)NC(CCCCN)C(=O)NCC2CCC(CC2)NC(=N)N,613.62264
ECT,COc1cc2c(CCNC23CSC4C5C6N(C)C(Cc7cc(C)c(OC)c(O)c67)C(O)N5C(COC3=O)c8c9OCOc9c(C)c(OC(=O)C)c48)cc1O,761.83722
ED1,Cn1cncc1CN(CCN(CC2CCN(CC2)C(=O)OC(C)(C)C)S(=O)(=O)c3ccccc3c4cccc(CCC(=O)O)c4)c5ccc(cc5)C#N,740.91072
ED5,Cc1ccccc1S(=O)(=O)N(CCN(Cc2cncn2C)c3ccc(cc3)C#N)CC4CCN(CC4)C(=O)OC(C)(C)C,606.77868
EDE,NCC(NC(=O)C(O)CNC(=O)CC(N)c1ccc(O)cc1)C(=O)NC(CCCC(N)C(O)CC(=O)NCC(=O)NCCCNCCCCC(=N)N)C(=O)O,781.89996
EEB,CCC(OC1C(O)C(CO)OC(OP(=O)(O)OP(=O)(O)OCC2OC(C(O)C2O)N3C=CC(=O)NC3=O)C1NC(=O)C)C(=O)O,693.44294
EEU,CC12CCC3C(CCc4cc(O)ccc34)C1CCC2(O)C#Cc5cc(CN(CC(=O)O)CC(=O)O)nc(CN(CC(=O)O)CC(=O)O)c5,663.71414
EGC,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,602.79692
EH5,COc1cc(cc(OC)c1OCc2ccccc2)C(=O)NC(Cc3ccccc3)C(O)CN(CCC4CCC5OCOC5C4)C(=O)CCN6C(=O)c7ccccc7C6=O,805.91124
EIS,CCCCCCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(OS(=O)(=O)O)C1O)NC(=O)CCCCCCCCCCC,723.99816
EJT,OCC1OC(OCCCNC(=O)c2cc(CN=[N+]=[N-])cc(c2)C(=O)NCCCOC3OC(CO)C(O)C(O)C3O)C(O)C(O)C1O,659.63954
ENA,NC(=O)c1ccc[n+](c1)C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(C(O)C3O)n4cnc5c4nc[n+]6cc[nH]c56)C(O)C2O,687.4465
